rank,product,asin,price,title
1,Amazon-Fire-TV-Stick-With-Alexa-Voice-Remote-Streaming-Media-Player,B00ZV9RDKK,$39.99,Fire TV Stick with Alexa Voice Remote | Streaming Media Player
2,Amazon-Echo-Dot-Portable-Bluetooth-Speaker-with-Alexa-Black,B01DFKC2SO,$39.99,Echo Dot (2nd Generation) - Smart speaker with Alexa - Black
3,all-new-amazon-echo-speaker-with-wifi-alexa-dark-charcoal,B06XCM9LJ4,$84.99,Echo (2nd Generation) - Smart speaker with Alexa - Charcoal Fabric
4,Fujifilm-INSTAX-Instant-Twin-Pack,B00EB4ADQW,$12.40,Fujifilm INSTAX Mini Instant Film Twin Pack (White)
5,Amazon-Echo-Dot-Portable-Bluetooth-Speaker-with-Alexa-White,B015TJD0Y4,$39.99,Echo Dot (2nd Generation) - Smart speaker with Alexa - White
6,Amazon-Kindle-Paperwhite-6-Inch-4GB-eReader,B00OQVZDJM,$119.99,"Kindle Paperwhite E-reader - Black, 6"" High-Resolution Display (300 ppi) with Built-in Light, Wi-Fi - Includes Special Offers"
7,Fujifilm-Instax-Instant-Packs-Pictures,B00O4OR4GQ,$38.77,"Fujifilm Instax Mini Instant Film (3 Twin Packs, 60 Total Pictures) - International Version"
8,all-new-amazon-fire-tv-4k-uhd-streaming-media-player,B01N32NCPM,$69.99,Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player
9,Roku-Express-more-powerful-Streaming,B075XN1NZC,$29.88,Roku Express | 5X more powerful HD Streaming
10,All-New-Amazon-Fire-7-Tablet,B01GEW27DA,$49.99,"Fire 7 Tablet with Alexa, 7"" Display, 8 GB, Black - with Special Offers"
11,BENGOO-Controller-Cancelling-Headphones-Surround,B01H6GUCCQ,$25.99,"BENGOO G9000 Stereo Gaming Headset for PS4, PC, Xbox One Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo Switch Games"
12,Amazon-VN94DQ-Echo-Spot-Black,B073SQYXTW,$129.99,Echo Spot - Black
13,Roku-Streaming-Stick-streaming-wireless,B075XLWML4,$54.99,Roku Streaming Stick+ | 4K/HDR/HD streaming player with 4x the wireless range & voice remote with TV power and volume
14,EarBuddyz-Airpods-Attachment-Earphones-Headphones,B019BREFE4,$4.15,EarBuddyz 2.0 Apple Airpods and EarPods Covers and Hooks Attachment for iPhone Earphones Headphones Earbuds - Clear (2 Pairs)
15,Anker-Soundcore-Portable-Bluetooth-Playtime,B016XTADG2,$23.79,"Anker Soundcore Portable Bluetooth Speaker with Loud Stereo Sound, Rich Bass, 24-Hour Playtime, 66 ft Bluetooth Range, Built-In Mic. Perfect Wireless Speaker for iPhone, Samsung and more"
16,Roku-Streaming-Stick-Portable-power-packed,B075XN5L53,$39.99,"Roku Streaming Stick | Portable, power-packed player with voice remote with TV power and volume"
17,Bluetooth-Headphones-Waterproof-Sweatproof-Cancelling,B01G8JO5F2,$29.97,"SENSO Bluetooth Headphones, Best Wireless Sports Earphones w/Mic IPX7 Waterproof HD Stereo Sweatproof Earbuds for Gym Running Workout 8 Hour Battery Noise Cancelling Headsets"
18,All-New-Amazon-Fire-HD-8-Tablet-With-Alexa,B01J94SWWU,$79.99,"Fire HD 8 Tablet with Alexa, 8"" HD Display, 16 GB, Black - with Special Offers"
19,NETGEAR-Nighthawk-AC1750-Gigabit-Ethernet,B00R2AZLD2,$89.99,"NETGEAR R6700 Nighthawk AC1750 Dual Band Smart WiFi Router, Gigabit Ethernet (R6700)"
20,AmazonBasics-6-Outlet-Surge-Protector-Power,B00TP1C51M,$9.29,"AmazonBasics 6-Outlet Surge Protector Power Strip, 790 Joule - Black"
21,DOSS-Wireless-Bluetooth-Portable-Speaker,B01CQOV3YO,$29.99,DOSS Touch Wireless Bluetooth V4.0 Portable Speaker with HD Sound and Bass (Black)
22,all-new-amazon-echo-speaker-with-wifi-alexa-heather-gray,B0749WVS7J,$84.99,Echo (2nd Generation) - Smart speaker with Alexa - Heather Gray Fabric
23,Kindle-Paperwhite-reader-High-Resolution-Built,B01BFIBRIE,$119.99,"Kindle Paperwhite E-reader - White, 6"" High-Resolution Display (300 ppi) with Built-in Light, Wi-Fi - Includes Special Offers"
24,ONIKUMA-Gaming-Headset-Noise-canceling-Microphone,B078RJGK35,$27.99,"ONIKUMA Gaming Headset - Headset Gaming Headphone for PS4, Xbox One (Adapter Need), Nintendo Switch (Audio) PC Gaming Headset with Crystal Clear Sound, LED Lights & Noise-canceling Microphone (K5-N)"
25,All-New-Amazon-Fire-HD-10-Inch-Tablet-32GB-Black,B01J6RPGKG,$149.99,"Fire HD 10 Tablet with Alexa Hands-Free, 10.1"" 1080p Full HD Display, 32 GB, Black - with Special Offers"
26,HP-Pavilion-21-5-Inch-HDMI-Monitor,B015WCV70W,$89.99,HP Pavilion 21.5-Inch IPS LED HDMI VGA Monitor
27,Wyze-Indoor-Wireless-Camera-Vision,B076H3SRXG,$25.98,"Wyze Cam 1080p HD Indoor Wireless Smart Home Camera with Night Vision, 2-Way Audio, White"
28,Bluetooth-Headphones-Waterproof-Sweatproof-Cancelling,B0792QJQT1,$23.98,"SENSO Bluetooth Wireless Headphones, Best Sports Earphones w/Mic IPX7 Waterproof HD Stereo Sweatproof Earbuds for Gym Running Workout 8 Hour Battery Noise Cancelling Headsets Hifi Cordless Headphones"
29,Roku-Ultra-streaming-Enhanced-headphone,B075XMZMWY,$89.00,"Roku Ultra | 4K/HDR/HD streaming player with Enhanced remote (voice, remote finder, headphone jack, TV power and volume), Ethernet, MicroSD and USB"
30,Cheetah-APTMM2B-Bracket-Twisted-Magnetic,B0012S4APK,$24.96,"Cheetah APTMM2B TV Wall Mount for 20-80"" TVs up to VESA 600 and 165lbs, and fits 16” And 24” Wall Studs, and includes a Tilt TV Bracket, a 10' Twisted Veins HDMI Cable and a 6"" 3-Axis Magnetic Bubble Level"
31,all-new-amazon-echo-speaker-with-wifi-alexa-sandstone,B06XXM5BPP,$84.99,Echo (2nd Generation) - Smart speaker with Alexa - Sandstone Fabric
32,Certified-Refurbished-Tablet-Alexa-Display,B01J90ONQ8,$34.99,"Certified Refurbished Fire 7 Tablet with Alexa, 7"" Display, 8 GB, Black - with Special Offers"
33,Anker-4-Port-Macbook-Surface-Notebook,B00XMD7KPU,$9.99,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More"
34,TCL-55S405-55-Inch-Ultra-Smart,B01MTGM5I9,$379.99,TCL 55S405 55-Inch 4K Ultra HD Roku Smart LED TV (2017 Model)
35,Certified-Refurbished-Remote-Pendant-Streaming,B06XTWZL2W,$49.99,Certified Refurbished Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player
36,Otium-Headphones-Bluetooth-Waterproof-Cancelling,B0734S1YBS,$23.99,"Otium Wireless Headphones, Bluetooth Headphones, Otium Best Sports Earphones, IPX7 Waterproof Stereo Earbuds for Gym Running 9 Hours Playtime Noise Cancelling Headsets"
37,Oldboytech-Quality-Auxiliary-Braided-Headphones,B076BFZDG2,$7.99,"Oldboytech AUX Cable,[2-Pack,4ft,Hi-Fi Sound Quality] 3.5mm Auxiliary Audio Cable Nylon Braided Male to Male AUX Cord for Car/Home Stereos,Speaker,iPhone iPod iPad,Headphones,Sony Beats,Echo Dot(Grey)"
38,Cancelling-Bluetooth-Headphones-Microphone-Comfortable,B019U00D7K,$69.99,"COWIN E7 Active Noise Cancelling Bluetooth Headphones with Microphone Hi-Fi Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30H Playtime for Travel Work TV Computer Iphone - Black"
39,Mounting-Dream-Bracket-Articulating-400x400mm,B00SFSU53G,$36.99,"Mounting Dream MD2380 TV Wall Mount Bracket for most 26-55 Inch LED, LCD, OLED and Plasma Flat Screen TV, with Full Motion Swivel Articulating Dual Arms, up to VESA 400x400mm and 99 LBS with Tilting"
40,Amazon-Kindle-eReader-6-Inch-Touchscreen,B00ZV9PXP2,$79.99,"Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi, Built-In Audible - Includes Special Offers"
41,AOMAIS-Portable-Wireless-Bluetooth-Waterproof,B01K9NLCV8,$32.99,"AOMAIS Sport II Portable Wireless Bluetooth Speakers 4.0 with Waterproof IPX7,20W Bass Sound,Stereo Pairing,Durable Design for iPhone /iPod/iPad/Phones/Tablet/Echo dot,Good Gift(Orange)"
42,Fujifilm-Instax-Mini-Instant-Camera,B06WW64YM6,$56.00,Fujifilm Instax Mini 9 - Ice Blue Instant Camera
43,Amazon-Echo-Show-Alexa-Enabled-Black,B01J24C0TI,$229.99,Echo Show - Black
44,Apple-Pencil-iPad-Pro-White,B016NY7784,$95.00,"Apple Pencil for iPad Pro, White"
45,All-New-Amazon-Fire-HD-8-Kids-Edition-Tablet,B01J94SBEY,$129.99,"Fire HD 8 Kids Edition Tablet, 8"" HD Display, 32 GB, Blue Kid-Proof Case"
46,Apple-TV-32GB-4th-Generation,B075NFX24M,$149.00,Apple TV - 32GB (4th Generation)
47,Fire-Tablet-Alexa-Display-Marine,B01IO618J8,$49.99,"Fire 7 Tablet with Alexa, 7"" Display, 8 GB, Marine Blue - with Special Offers"
48,Logitech-G430-Headphone-Cable-Sports-Performance,B00CQ35C1Q,$37.99,"Logitech G430 7.1 DTS Headphone: X and Dolby Surround Sound Gaming Headset for PC, Playstation 4 – On-Cable Controls – Sports-Performance Ear Pads – Rotating Ear Cups – Light Weight Design"
49,GoPro-CHDHX-502-HERO5-Black,B01M14ATO0,$249.00,GoPro HERO5 Black
50,Certified-Refurbished-Remote-Streaming-Player,B01ETRH0AM,$34.99,Certified Refurbished Fire TV Stick with Alexa Voice Remote | Streaming Media Player
51,Fire-Tablet-Alexa-Display-Punch,B01J90OCNM,$49.99,"Fire 7 Tablet with Alexa, 7"" Display, 8 GB, Punch Red - with Special Offers"
52,Tablet-Stand-Multi-Angle-Lamicall-iPad,B071K5SPKN,$14.99,"Tablet Stand Multi-Angle, Lamicall iPad Stand : Desktop Adjustable Holder Dock for iPad mini Air 2 3 4 Pro, iPhone 6 7 8 X Plus, Nintendo Switch Accessories, Samsung, Other Tablet (4-13 inch) - Silver"
53,Amazon-VN94DQ-Echo-Spot-White,B073SRJD46,$129.99,Echo Spot - White
54,Certified-Refurbished-Tablet-Alexa-Display,B01J94TEAE,$49.99,"Certified Refurbished Fire HD 8 Tablet with Alexa, 8"" HD Display, 16 GB, Black - with Special Offers"
55,AmazonBasics-Extension-Cable-Male-Female,B00NH11PEY,$5.79,AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters)
56,Certified-Refurbished-All-new-Generation-improved,B071P72R59,$69.99,"Certified Refurbished All-new Echo (2nd Generation) with improved sound, powered by Dolby, and a new design – Charcoal Fabric"
57,Polaroid-Originals-4670-Color-White,B075H4WWP1,$18.99,"Polaroid Originals 4670 Color Film for 600, White"
58,RCA-Digital-Alarm-Clock-Display,B007T0W5CA,$11.49,"RCA Digital Alarm Clock with Large 1.4"" Display"
59,Protector-BESTEK-8-Outlet-6-Port-Protection,B01M5JD5VY,$42.99,Surge Protector BESTEK 8-Outlet Power Strip and 40W 6-Port Smart USB with 1500 Joules Surge Protection
60,AmazonBasics-6-Outlet-Surge-Protector-Power,B00TP1C1UC,$9.29,"AmazonBasics 6-Outlet Surge Protector Power Strip, 790 Joule - White"
61,Sony-DVPSR210P-DVD-Player,B007F9XHBI,$33.00,Sony DVPSR210P DVD Player
62,3-Piece-Fintie-Lightning-Adapter-Generation,B01H6Q03IY,$5.99,"[3-Piece] Fintie for Apple Pencil Cap Holder/Nib Cover/Lightning Cable Adapter Tether for Apple iPad Pro/iPad 2018 (6th Generation) Pencil, White"
63,Fire-Kids-Tablet-Display-Kid-Proof,B01J94SCAM,$129.99,"Fire HD 8 Kids Edition Tablet, 8"" HD Display, 32 GB, Pink Kid-Proof Case"
64,Classic-Controller-Extension-i-Kawachi-Nintendo,B07114C4TL,$9.99,"SNES Classic Controller Extension Cable 3M/10ft (2-PACK), i-Kawachi SNES Extension Power Cord for Super Nintendo SNES Classic Edition Controller (2017) and Mini NES Classic Edition (2016)"
65,TCL-32S305-32-Inch-Smart-Model,B01MU1GBLL,$159.99,TCL 32S305 32-Inch 720p Roku Smart LED TV (2017 Model)
66,Polaroid-Premium-Photo-Paper-50-Pack,B008GVVUFE,$21.22,Polaroid 2x3ʺ Premium ZINK Zero Photo Paper 50-Pack - Compatible with Polaroid Snap/SnapTouch Instant Print Digital Cameras & Polaroid ZIP Mobile Photo Printer
67,Neewer-Accessory-Session-VicTsing-Lightdow,B01171X0UW,$21.99,Neewer 50-In-1 Action Camera Accessory Kit for GoPro Hero Session/5 Hero 1 2 3 3+ 4 5 6 SJ4000 5000 6000 DBPOWER AKASO VicTsing APEMAN WiMiUS Rollei QUMOX Lightdow Campark And Sony Sports DV and More
68,All-New-Amazon-Fire-7-Kids-Edition-Tablet,B01J90MSDS,$99.99,"Fire 7 Kids Edition Tablet, 7"" Display, 16 GB, Blue Kid-Proof Case"
69,Fire-Tablet-Alexa-Display-Black,B01J94T4R2,$99.99,"Fire HD 8 Tablet with Alexa, 8"" HD Display, 32 GB, Black - with Special Offers"
70,Fire-Tablet-Alexa-Display-Marine,B01J94YIT6,$79.99,"Fire HD 8 Tablet with Alexa, 8"" HD Display, 16 GB, Marine Blue - with Special Offers"
71,Fujifilm-Instax-Mini-Instant-Camera,B06WWLJ7KY,$56.00,Fujifilm Instax Mini 9 Instant Camera - Smokey White
72,Kindle-Paperwhite-reader-High-Resolution-Built,B00QJE3MGU,$139.99,"Kindle Paperwhite E-reader - Black, 6"" High-Resolution Display (300 ppi) with Built-in Light, Wi-Fi"
73,Upgraded-Version-RunningSnail-Emergency-Flashlight,B01MFCFKG5,$19.90,"[Upgraded Version]RunningSnail Emergency Hand Crank Self Powered AM/FM NOAA Solar Weather Radio with LED Flashlight, 1000mAh Power Bank for iPhone/Smart Phone"
74,YI-Security-Surveillance-Tracker-Auto-Cruise,B01CW4BG4K,$39.99,"YI Dome Camera Pan/Tilt/Zoom Wi-Fi IP Indoor Security Surveillance System 720p HD Night Vision, Motion Tracker, Auto-Cruise, Remote Monitor with iOS, Android App - Cloud Service Available"
75,Ceptics-CTU-9C-Europe-Travel-Adapter,B01N14AV3K,$14.99,Ceptics CTU-9C USA to Most of Europe Travel Adapter Plug With Dual USB - Type C - Ultra Compact
76,Original-Sonos-Play-Wireless-Streaming,B00EWCUK1Q,$149.00,Original Sonos Play:1 - Compact Wireless Speaker for Streaming Music. Metallic Black. Works with Alexa.
77,NETGEAR-CM500-1AZNAS-download-Certified-Cablevision,B06XH46MWW,$58.58,"NETGEAR CM500-1AZNAS (16x4) DOCSIS 3.0 Cable Modem, Max download speeds of 686Mbps, Certified for Xfinity from Comcast, Spectrum, Cox, Cablevision & more"
78,VivoBook-i5-8250U-NanoEdge-Fingerprint-F510UA-AH51,B0762S8PYM,$479.00,"ASUS VivoBook F510UA FHD Laptop, Intel Core i5-8250U, 8GB RAM, 1TB HDD, USB-C, NanoEdge Display, Fingerprint, Windows 10, Star Gray (F510UA-AH51)"
79,TENVIS-HD-IP-Camera-Detection,B071DDBT7M,$39.85,"TENVIS HD IP Camera - Wireless IP Camera with Two-way Audio, Night Vision Camera, 2.4GHz & 720P Camera for Pet Baby Monitor, Home Security Camera Motion Detection Indoor Camera with Micro SD Card Slot"
80,Anker-Soundcore-Bluetooth-Exclusive-Water-Resistant,B01MTB55WH,$39.99,"Anker Soundcore 2 Portable Bluetooth Speaker with Superior Stereo Sound, Exclusive BassUp, 12-Watts, IPX5 Water-Resistant, 24-Hour Playtime, Perfect Wireless Speaker for Home, Outdoors, Travel"
81,All-New-Amazon-Fire-HD-10-Inch-Tablet-32GB-Blue,B01M6YJEAH,$149.99,"Fire HD 10 Tablet with Alexa Hands-Free, 10.1"" 1080p Full HD Display, 32 GB, Marine Blue - with Special Offers"
82,Dodow-Device-150-000-Falling-Asleep,B07CGD8NTX,$59.00,Dodow - Sleep Aid Device - More Than 150.000 Users Are Falling Asleep Faster with Dodow!
83,ARRIS-SURFboard-SB6183-Docsis-Packaging,B00MA5U1FW,$67.99,ARRIS SURFboard SB6183 Modem 16x4 Docsis 3.0 Cable Modem- Retail Packaging- White
84,Aurosports-Folding-Binoculars-Watching-Concerts,B06XT7M6P5,$27.99,Aurosports 10x25 Folding High Powered Binoculars With Weak Light Night Vision Clear Bird Watching Great for Outdoor Sports Games and Concerts
85,Fujifilm-QuickSnap-Flash-Disposable-Camera,B00PUNB1UA,$13.50,Fujifilm QuickSnap Flash 400 Disposable 35mm Camera (Pack of 2)
86,Arlo-Certified-Tenergy-Rechargeable-Security,B01MRKGS4K,$29.99,Arlo Certified: Tenergy 3.7V Li-ion Rechargeable Battery for Arlo Security Cameras (VMC3030/VMK3200/VMS3330/3430/3530) 650mAh RCR123A UL UN Certified 4 Pack
87,HAVIT-HV-F2056-Laptop-Cooler-Cooling,B00NNMB3KS,$21.99,"HAVIT HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans)"
88,Duracell-CR1632-1632-Remote-Batteries,B00JAPY7C8,$5.42,2 Pcs Duracell CR1632 1632 Car Remote Batteries
89,Sonic-Alert-SBB500SS-Alarm-Shaker,B000OOWZUK,$29.99,Sonic Alert SBB500SS Sonic Bomb Loud Dual Alarm Clock with Bed Shaker
90,Microsoft-PD9-00003-Surface-Dock,B0163HP38W,$139.91,Microsoft Surface Dock
91,Wsky-60-100-Transparent-Digital-Antenna,B076DCXBY4,$26.99,Wsky 60-100 Miles Transparent Digital HDTV Antenna - Best Hdtv Antenna Indoor - Upgraded Silver Paddle Extremely High Reception - Support 1080P 4K Super FUN and FREE for LIFE!
92,Portable-Wireless-Bluetooth-Waterproof-Resistant,B06XR91FFD,$29.87,"APIE Portable Wireless Outdoor Bluetooth Speaker IPX6 Waterproof Dual 10W Driversf , Enhanced Bass, Built in Mic,water Resistant,Beach, Shower & Home"
93,Samsung-Galaxy-Wifi-Tablet-Black,B075VSG1TQ,$149.99,"Samsung Galaxy Tab A 8"" 32 GB Wifi Tablet (Black)"
94,OtterBox-DEFENDER-Case-iPad-5th,B00Z7TTDYI,$45.88,OtterBox DEFENDER SERIES Case for iPad (5th Gen) / iPad (6th Gen) - Frustration Free Packaging - BLACK
95,TaoTronics-Bluetooth-Transmitter-Receiver-Simultaneously,B01EHSX28M,$29.99,"TaoTronics Bluetooth 4.1 Transmitter / Receiver, 2-in-1 Wireless 3.5mm Adapter (aptX Low Latency, 2 Devices Simultaneously, For TV / Home Sound System)"
96,HP-23-8-inch-Adjustment-Speakers-VH240a,B072M34RQC,$123.81,"HP 23.8-inch FHD IPS Monitor with Tilt/Height Adjustment and Built-in Speakers (VH240a, Black)"
97,Introducing-Amazon-Cloud-Cam,B01C4UY0JK,$119.99,"Amazon Cloud Cam Security Camera, Works with Alexa"
98,BENGOO-Controller-Cancelling-Headphones-Camouflage,B01MA5XZSG,$31.99,"BENGOO Stereo Gaming Headset for PS4, PC, Xbox One Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo Switch –Camouflage"
99,NETGEAR-Nighthawk-Parental-Controls-Compatible,B00F0DD0I6,$149.99,"NETGEAR Nighthawk AC1900 Dual Band WiFi Router, Gigabit Router, Open Source Support, Circle with Disney Smart Parental Controls, Compatible with Amazon Alexa (R7000)"
100,Apple-MP7P2LL-A-TV-4K,B075NHCSS4,$199.00,Apple TV 4K - 64GB
